date,price_usd_per_mmbtu,return_1day,return_3days,return_7days
2015-10-06,2.35,0.0,0.019858,0.011409
2015-10-07,2.35,0.0,0.018519,0.00466
2015-10-08,2.35,0.059574,0.017175,0.005251
2015-10-09,2.49,-0.004016,-0.002683,-0.001496
2015-10-12,2.48,-0.004032,0.008103,-0.006149
2015-10-13,2.47,0.0,-0.006301,-0.005573
2015-10-14,2.47,0.02834,-0.004924,-0.010998
2015-10-15,2.54,-0.047244,-0.010255,-0.021312
2015-10-16,2.42,0.004132,-0.006702,-0.017184
2015-10-19,2.43,0.012346,-0.00808,-0.017775
2015-10-20,2.46,-0.036585,-0.024853,-0.018871
2015-10-21,2.37,0.0,-0.027278,-0.02494
2015-10-22,2.37,-0.037975,-0.033394,-0.029269
2015-10-23,2.28,-0.04386,-0.020736,-0.023844
2015-10-26,2.18,-0.018349,-0.004559,-0.00865
2015-10-27,2.14,0.0,-0.024799,-0.006029
2015-10-28,2.14,0.004673,-0.0349,0.004476
2015-10-29,2.15,-0.07907,-0.036458,0.003808
2015-10-30,1.98,-0.030303,0.010732,0.011842
2015-11-02,1.92,0.0,0.020833,0.015504
2015-11-03,1.92,0.0625,0.045343,0.010138
2015-11-04,2.04,0.0,0.02451,-0.000881
2015-11-05,2.04,0.073529,0.016899,-0.000881
2015-11-06,2.19,0.0,-0.009168,-0.009264
2015-11-09,2.19,-0.022831,-0.021688,-0.005779
2015-11-10,2.14,-0.004673,-0.018955,-0.002518
2015-11-11,2.13,-0.037559,-0.017398,0.003592
2015-11-12,2.05,-0.014634,7.2e-05,0.008958
2015-11-13,2.02,0.0,0.013081,0.008427
2015-11-16,2.02,0.014851,0.013081,0.008427
2015-11-17,2.05,0.02439,0.020828,0.006305
2015-11-18,2.1,0.0,0.012698,0.002821
2015-11-19,2.1,0.038095,0.006582,0.000818
2015-11-20,2.18,0.0,-0.006116,-0.004624
2015-11-23,2.18,-0.018349,-0.006116,0.000792
2015-11-24,2.14,0.0,0.0,0.000152
2015-11-25,2.14,0.0,-0.004673,-0.002518
2015-11-26,2.14,0.0,-0.004673,-0.005239
2015-11-27,2.14,-0.014019,0.007965,-0.008707
2015-11-30,2.11,0.0,0.005028,-0.007415
2015-12-01,2.11,0.037915,-0.001203,-0.010986
2015-12-02,2.19,-0.022831,-0.02019,-0.028124
2015-12-03,2.14,-0.018692,-0.02067,-0.032045
2015-12-04,2.1,-0.019048,-0.016098,-0.032736
2015-12-07,2.06,-0.024272,-0.018082,-0.026573
2015-12-08,2.01,-0.004975,-0.037342,-0.015543
2015-12-09,2.0,-0.025,-0.052444,-0.018822
2015-12-10,1.95,-0.082051,-0.051953,-0.013609
2015-12-11,1.79,-0.050279,-0.016571,-0.004322
2015-12-14,1.7,-0.023529,0.017836,-0.005397
2015-12-15,1.66,0.024096,0.016368,-0.002036
2015-12-16,1.7,0.052941,0.012167,-0.005478
2015-12-17,1.79,-0.027933,-0.011161,0.029027
2015-12-18,1.74,0.011494,-0.021118,0.051975
2015-12-21,1.76,-0.017045,-0.02495,0.043758
2015-12-22,1.73,-0.057803,-0.019268,0.046193
2015-12-23,1.63,0.0,0.09816,0.054451
2015-12-24,1.63,0.0,0.142393,0.061343
2015-12-25,1.63,0.294479,0.127052,0.057757
2015-12-28,2.11,0.132701,0.028892,0.018141
2015-12-29,2.39,-0.046025,-0.015342,-0.002022
2015-12-30,2.28,0.0,0.016082,0.011848
2015-12-31,2.28,0.0,0.007714,0.015896
2016-01-01,2.28,0.048246,0.013436,0.008022
2016-01-04,2.39,-0.025105,-0.005459,-0.006013
2016-01-05,2.33,0.017167,0.019931,-0.006812
2016-01-06,2.37,-0.008439,0.023655,-0.011204
2016-01-07,2.35,0.051064,0.008095,-0.009999
2016-01-08,2.47,0.02834,-0.025593,-0.014017
2016-01-11,2.54,-0.055118,-0.045273,-0.021269
2016-01-12,2.4,-0.05,-0.031425,-0.010773
2016-01-13,2.28,-0.030702,-0.014759,-0.004274
2016-01-14,2.21,-0.013575,0.00312,-0.00312
2016-01-15,2.18,0.0,0.000171,0.005433
2016-01-18,2.18,0.022936,0.006288,0.005433
2016-01-19,2.23,-0.022422,-0.002859,-0.004797
2016-01-20,2.18,0.018349,-0.002927,0.007044
2016-01-21,2.22,-0.004505,0.006389,0.004423
2016-01-22,2.21,-0.022624,0.007891,-0.008092
2016-01-25,2.16,0.046296,-0.000792,-0.00555
2016-01-26,2.26,0.0,0.003931,-0.01147
2016-01-27,2.26,-0.048673,0.003931,-0.01078
2016-01-28,2.15,0.060465,-0.010547,0.006476
2016-01-29,2.28,0.0,-0.032312,-0.006006
2016-02-01,2.28,-0.092105,-0.030694,-0.006664
2016-02-02,2.07,-0.004831,0.001618,0.005832
2016-02-03,2.06,0.004854,0.027267,0.001871
2016-02-04,2.07,0.004831,0.01668,0.001178
2016-02-05,2.08,0.072115,0.013534,-0.008441
2016-02-08,2.23,-0.026906,-0.012048,-0.020208
2016-02-09,2.17,-0.004608,-0.013932,-0.019325
2016-02-10,2.16,-0.00463,-0.012396,-0.023202
2016-02-11,2.15,-0.032558,-0.031686,-0.020199
2016-02-12,2.08,0.0,-0.024252,-0.016316
2016-02-15,2.08,-0.0625,-0.031161,-0.016316
2016-02-16,1.95,-0.010256,-0.020909,-0.012793
2016-02-17,1.93,-0.020725,-0.012026,-0.011327
2016-02-18,1.89,-0.031746,-0.00691,-0.021208
2016-02-19,1.83,0.016393,0.003672,-0.021082
2016-02-22,1.86,-0.005376,-0.014405,-0.020694
2016-02-23,1.85,0.0,-0.012613,-0.020819
2016-02-24,1.85,-0.037838,-0.042575,-0.029803
2016-02-25,1.78,0.0,-0.040251,-0.017687
2016-02-26,1.78,-0.089888,-0.033881,-0.014024
2016-02-29,1.62,-0.030864,-0.006002,-0.00029
2016-03-01,1.57,0.019108,-0.016678,0.01388
2016-03-02,1.6,-0.00625,-0.007388,0.012811
2016-03-03,1.59,-0.062893,0.003243,0.008778
2016-03-04,1.49,0.04698,0.02629,0.028817
2016-03-07,1.56,0.025641,0.033405,0.018949
2016-03-08,1.6,0.00625,0.028734,0.020935
